CLIENTID	service_id0	userid	product_obj_id0	deal_obj_id0	PLAN_DESCR	PLAN_START_DATE	PLAN_END_DATE	ORDER_DATE	ID	SnapshotDate	plan_obj_id0	ActivationTag	RecordTypeName
12690839301	12690837893	12661718568	12661488562	12661486725	Introductory - Mostly Music - 24mo	2018-04-01 00:00:00.000	2018-04-01 23:25:13.000	2018-04-01 23:11:19.000	14753331	2018-04-04 00:00:00.000	12661488579	NULL	NULL
12690790025	12690788425	12661718568	12661488609	12661487093	Select - 1mo	2018-10-01 00:00:00.000	1969-12-31 19:00:00.000	2018-04-01 23:57:27.000	14753333	2018-04-04 00:00:00.000	12661488011	Winbacks	NULL
12690819507	12690820211	12661718568	12661488369	12661485965	Select Family Friendly - 36mo - 527.67_395.64	2021-04-01 00:00:00.000	1969-12-31 19:00:00.000	2018-04-01 23:56:12.000	14753335	2018-04-04 00:00:00.000	12661488171	NONE	NULL
12690857632	12690856032	12661718568	12661488369	12661485965	Select Family Friendly - 36mo - 527.67_395.64	2021-04-01 00:00:00.000	2018-05-01 00:00:00.000	2018-04-01 23:23:51.000	14753336	2018-04-04 00:00:00.000	12661488171	NONE	NULL
12690841707	12690845035	12661718568	12661488162	12661486457	Internet Radio - 12mo	2019-04-01 00:00:00.000	1969-12-31 19:00:00.000	2018-04-01 23:29:46.000	14753340	2018-04-04 00:00:00.000	12661489579	NONE	NULL
12690843834	12690845114	12661718568	12661488562	12661486725	Introductory - Mostly Music - 24mo	2019-04-01 00:00:00.000	2021-04-01 00:00:00.000	2018-04-01 22:54:57.000	14753342	2018-04-04 00:00:00.000	12661488579	NONE	NULL
12690813733	12690814629	12661718568	12661488299	12661488299	Sponsored - OEM Trial - All Access - 12mo - 81.50	2018-04-01 00:00:00.000	2019-04-01 00:00:00.000	2018-04-01 22:51:07.000	14753347	2018-04-04 00:00:00.000	12661488299	NONE	NULL
12690841941	12690842837	12661718568	9298843720	10951315794	Promo - All Access - 6mo - 50.00 - 1moFO + Traffic - 1mo + Travel Link - 1mo	2018-04-01 00:00:00.000	2018-10-01 00:00:00.000	2018-04-01 23:54:33.000	14753351	2018-04-04 00:00:00.000	12661487467	NONE	NULL
12690843834	12690845114	12661718568	12661488299	12661488299	Sponsored - OEM Trial - All Access - 12mo - 81.50	2018-04-01 00:00:00.000	2019-04-01 00:00:00.000	2018-04-01 22:54:57.000	14753353	2018-04-04 00:00:00.000	12661488299	NONE	NULL
12690782263	12693159264	12661718568	12661488174	12661486421	Responder - 12mo	2018-04-01 23:52:39.000	2018-04-01 23:52:39.000	2018-04-01 23:45:36.000	14753359	2018-04-04 00:00:00.000	12661487755	Winbacks	NULL
